iter	Passed	Remaining
0	0	72
1	1	72
2	2	76
3	2	69
4	3	66
5	4	72
6	5	74
7	6	73
8	7	72
9	8	72
10	9	72
11	9	72
12	10	73
13	11	71
14	12	70
15	13	68
16	13	67
17	14	67
18	15	65
19	16	64
20	16	63
21	17	62
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	31	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	71	0
99	72	0
